match_id,date,venue,batting_team,opponent,innings,runs,balls,dismissed,century,fifty
589309,2013-01-03,Eden Gardens,India,Pakistan,2,6,9,True,False,False
589310,2013-01-06,Feroz Shah Kotla,India,Pakistan,1,7,18,True,False,False
565812,2013-01-11,Saurashtra Cricket Association Stadium,India,England,2,15,22,True,False,False
565813,2013-01-15,Nehru Stadium,India,England,1,37,55,True,False,False
565814,2013-01-19,JSCA International Stadium Complex,India,England,2,77,80,False,False,True
565815,2013-01-23,"Punjab Cricket Association Stadium, Mohali",India,England,2,26,33,True,False,False
565816,2013-01-27,Himachal Pradesh Cricket Association Stadium,India,England,1,0,1,True,False,False
578614,2013-06-06,Sophia Gardens,India,South Africa,1,31,41,True,False,False
578619,2013-06-11,Kennington Oval,India,West Indies,2,22,18,True,False,False
578623,2013-06-15,Edgbaston,India,Pakistan,2,22,27,False,False,False
566947,2013-06-20,Sophia Gardens,India,Sri Lanka,2,58,65,False,False,True
566948,2013-06-23,Edgbaston,India,England,1,43,36,True,False,False
597924,2013-06-30,"Sabina Park, Kingston",India,West Indies,1,11,21,True,False,False
597925,2013-07-02,"Sabina Park, Kingston",India,Sri Lanka,2,2,5,True,False,False
597926,2013-07-05,"Queen's Park Oval, Port of Spain",India,West Indies,1,102,88,True,True,False
597928,2013-07-09,"Queen's Park Oval, Port of Spain",India,Sri Lanka,1,31,52,True,False,False
597929,2013-07-11,"Queen's Park Oval, Port of Spain",India,Sri Lanka,2,2,5,True,False,False
643665,2013-07-24,Harare Sports Club,India,Zimbabwe,2,115,109,True,True,False
643667,2013-07-26,Harare Sports Club,India,Zimbabwe,1,14,18,True,False,False
643669,2013-07-28,Harare Sports Club,India,Zimbabwe,2,68,91,False,False,True
647249,2013-10-13,Maharashtra Cricket Association Stadium,India,Australia,2,61,85,True,False,True
647251,2013-10-16,Sawai Mansingh Stadium,India,Australia,2,100,54,False,True,False
647253,2013-10-19,"Punjab Cricket Association Stadium, Mohali",India,Australia,1,68,74,True,False,True
647259,2013-10-30,"Vidarbha Cricket Association Stadium, Jamtha",India,Australia,2,115,66,False,True,False
647261,2013-11-02,M Chinnaswamy Stadium,India,Australia,1,0,3,True,False,False
676529,2013-11-21,Nehru Stadium,India,West Indies,2,86,89,True,False,True
676531,2013-11-24,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,India,West Indies,1,99,102,True,False,True
676533,2013-11-27,Green Park,India,West Indies,2,19,18,True,False,False
648651,2013-12-05,New Wanderers Stadium,India,South Africa,2,31,38,True,False,False
648653,2013-12-08,Kingsmead,India,South Africa,2,0,6,True,False,False
667641,2014-01-19,McLean Park,India,New Zealand,2,123,113,True,True,False
667643,2014-01-22,Seddon Park,India,New Zealand,2,78,69,True,False,True
667645,2014-01-25,Eden Park,India,New Zealand,2,6,20,True,False,False
667647,2014-01-28,Seddon Park,India,New Zealand,1,2,11,True,False,False
667649,2014-01-31,Westpac Stadium,India,New Zealand,2,82,78,True,False,True
710293,2014-02-26,Khan Shaheb Osman Ali Stadium,India,Bangladesh,2,136,129,True,True,False
710297,2014-02-28,Khan Shaheb Osman Ali Stadium,India,Sri Lanka,1,48,52,True,False,False
710301,2014-03-02,Shere Bangla National Stadium,India,Pakistan,1,5,11,True,False,False
667723,2014-08-27,Sophia Gardens,India,England,1,0,3,True,False,False
667725,2014-08-30,Trent Bridge,India,England,2,40,50,True,False,False
667727,2014-09-02,Edgbaston,India,England,2,1,3,False,False,False
667729,2014-09-05,Headingley,India,England,2,13,22,True,False,False
770121,2014-10-08,Nehru Stadium,India,West Indies,2,2,5,True,False,False
770123,2014-10-11,Feroz Shah Kotla,India,West Indies,1,62,80,True,False,True
770127,2014-10-17,Himachal Pradesh Cricket Association Stadium,India,West Indies,1,127,115,True,True,False
792289,2014-11-02,Barabati Stadium,India,Sri Lanka,1,22,22,True,False,False
792291,2014-11-06,"Sardar Patel Stadium, Motera",India,Sri Lanka,2,49,44,True,False,False
792293,2014-11-09,"Rajiv Gandhi International Stadium, Uppal",India,Sri Lanka,2,53,61,True,False,True
792295,2014-11-13,Eden Gardens,India,Sri Lanka,1,66,65,True,False,True
792297,2014-11-16,JSCA International Stadium Complex,India,Sri Lanka,2,139,130,False,True,False
754749,2015-01-18,Melbourne Cricket Ground,India,Australia,1,9,17,True,False,False
754753,2015-01-20,"Brisbane Cricket Ground, Woolloongabba",India,England,1,4,8,True,False,False
754757,2015-01-26,Sydney Cricket Ground,India,Australia,1,3,9,False,False,False
754759,2015-01-30,Western Australia Cricket Association Ground,India,England,1,8,19,True,False,False
656405,2015-02-15,Adelaide Oval,India,Pakistan,1,107,127,True,True,False
656423,2015-02-22,Melbourne Cricket Ground,India,South Africa,1,46,60,True,False,False
656439,2015-02-28,Western Australia Cricket Association Ground,India,United Arab Emirates,2,33,41,False,False,False
656453,2015-03-06,Western Australia Cricket Association Ground,India,West Indies,2,33,39,True,False,False
656465,2015-03-10,Seddon Park,India,Ireland,2,44,44,False,False,False
656475,2015-03-14,Eden Park,India,Zimbabwe,2,38,52,True,False,False
656485,2015-03-19,Melbourne Cricket Ground,India,Bangladesh,1,3,9,True,False,False
656493,2015-03-26,Sydney Cricket Ground,India,Australia,2,1,13,True,False,False
870731,2015-06-18,Shere Bangla National Stadium,India,Bangladesh,2,1,4,True,False,False
870733,2015-06-21,Shere Bangla National Stadium,India,Bangladesh,1,23,30,True,False,False
870735,2015-06-24,Shere Bangla National Stadium,India,Bangladesh,1,25,37,True,False,False
903593,2015-10-11,Green Park,India,South Africa,2,11,19,True,False,False
903595,2015-10-14,Holkar Cricket Stadium,India,South Africa,1,12,18,False,False,False
